Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0,0.12,1.35,84,96,6.2,815
Yokai Watch 3,3DS,2016,Action,Level 5,0,0,1.33,0,1.33,,,,
The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,,,,
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0,0.13,1.23,83,30,5.9,39
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,79,60,8.2,201
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0,0.18,1.13,83,88,7.8,621
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.42,0.58,0,0.08,1.08,91,90,7.4,594
Overwatch,XOne,2016,Shooter,Activision,0.63,0.33,0,0.1,1.06,91,18,5.6,668
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.56,0.3,0.08,0.09,1.03,86,74,8.4,329
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.86,0.06,0,0.11,1.02,90,17,6.2,91
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01,76,74,8,273
Rise of the Tomb Raider,PS4,2016,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94,,,,
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.29,0.49,0,0.15,0.93,79,38,6.2,157
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.28,0.14,0.47,0.04,0.93,81,71,8.7,87
Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9,77,80,3.4,1221
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.72,0,0,0.17,0.89,,,,
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.47,0.33,0,0.08,0.88,77,27,6.4,194
Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.44,0.25,0,0.07,0.76,,,,
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75,89,56,8.4,704
The Elder Scrolls V: Skyrim,XOne,2016,Role-Playing,Bethesda Softworks,0.41,0.27,0,0.07,0.74,,,,
FIFA 17,PS3,2016,Sports,Electronic Arts,0.05,0.55,0.03,0.1,0.73,,,3.3,21
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0,0.12,0.73,71,70,7,87
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73,54,7.8,117
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,78,61,7.5,91
Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,,,,
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.03,0.58,0,0.04,0.65,64,5,8,20
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.22,0.32,0,0.1,0.64,88,56,7.7,569
Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0,0,0.63,0,0.63,,,,
Mafia III,XOne,2016,Action,Take-Two Interactive,0.28,0.29,0,0.05,0.62,67,20,4.6,274
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0,0.09,0.6,69,50,6.9,88
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.37,0.15,0,0.05,0.57,87,31,8,261
Yokai Sangokushi,3DS,2016,Action,Level 5,0,0,0.56,0,0.56,,,,
Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,77,106,6.8,1659
Overwatch,PC,2016,Shooter,Activision,0.25,0.24,0,0.04,0.53,91,62,6.8,4052
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016,Action,Nintendo,0.05,0.21,0.25,0.02,0.53,,,,
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.2,0.21,0,0.08,0.49,81,29,7.7,111
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.29,0.15,0,0.04,0.48,80,64,8.1,79
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45,85,61,7.6,478
Hyrule Warriors,3DS,2016,Action,Nintendo,0.17,0.13,0.11,0.03,0.43,,,,
Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75,72,6.8,208
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.24,0.14,0,0.04,0.41,76,42,6,77
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0,0.06,0.41,69,17,8.7,12
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.22,0.15,0,0.04,0.41,79,33,5.8,1188
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.04,0.11,0.22,0.03,0.4,,,,
Life is Strange,PS4,2016,Adventure,Square Enix,0.15,0.15,0.03,0.06,0.4,85,23,8.6,672
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.26,0.09,0,0.04,0.39,87,14,8.6,514
Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment,0.18,0.15,0,0.07,0.39,72,49,8,68
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.03,0.29,0.01,0.05,0.39,,,,
Battlefield 1,PC,2016,Shooter,Electronic Arts,0.11,0.24,0,0.03,0.38,88,54,7.6,1137
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.11,0.21,0,0.06,0.38,84,59,7.6,511
FIFA 17,X360,2016,Sports,Electronic Arts,0.07,0.28,0,0.03,0.38,,,1.7,23
Resident Evil Zero,PS4,2016,Action,Capcom,0.1,0.17,0.05,0.05,0.37,,,,
Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.37,0,0.37,,,,
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37,84,39,8.5,210
Rocket League,PS4,2016,Sports,505 Games,0.03,0.28,0,0.05,0.37,85,50,8.7,1290
DiRT Rally,PS4,2016,Racing,Codemasters,0.04,0.27,0,0.05,0.37,85,46,8.1,196
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.17,0.1,0.07,0.03,0.36,69,82,7.4,662
Watch Dogs 2,XOne,2016,Action,Ubisoft,0.17,0.16,0,0.03,0.36,83,9,7.7,131
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35,48,43,3.8,212
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,66,45,7.8,49
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0,0.03,0.35,71,18,5.1,15
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69,50,4.7,578
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.26,0,0.05,0.35,81,52,7.9,110
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo,0.07,0.14,0.11,0.02,0.34,,,,
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33,77,74,8.3,222
NHL 17,PS4,2016,Sports,Electronic Arts,0.19,0.08,0,0.06,0.33,78,26,5.8,67
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.07,0.09,0.15,0.03,0.33,,,,
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.13,0.16,0,0.03,0.32,88,62,7.5,535
LEGO Marvel's Avengers,X360,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0,0.03,0.32,,,5.7,6
Mario Party: Star Rush,3DS,2016,Misc,Nintendo,0.08,0.13,0.08,0.02,0.3,68,37,6.8,16
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.21,0.07,0,0.03,0.3,81,11,8.5,51
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0,0,0.06,0.3,75,59,7.3,89
Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,Square Enix,0,0,0.3,0,0.3,,,,
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0,0.02,0.3,76,11,7,18
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0.22,0.04,0.04,0.29,72,7,6.6,8
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,0,0,0.28,0,0.28,,,,
Monster Hunter Stories,3DS,2016,Action,Capcom,0,0,0.28,0,0.28,,,,
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.04,0.11,0.11,0.03,0.28,,,,
Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.27,0,0.27,,,,
LEGO Marvel's Avengers,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.1,0.12,0,0.04,0.27,,,5.5,8
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0,0.04,0.26,73,28,8.5,79
WWE 2K17,XOne,2016,Sports,Take-Two Interactive,0.12,0.12,0,0.02,0.26,68,12,5.5,27
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68,55,6.8,402
PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.25,59,48,7.1,73
Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.09,0.13,0,0.02,0.25,88,81,7.3,684
NHL 17,XOne,2016,Sports,Electronic Arts,0.2,0.01,0,0.03,0.24,77,23,4,38
Destiny: The Collection,PS4,2016,Shooter,Activision,0.05,0.15,0,0.04,0.24,,,8.1,9
Rocket League,XOne,2016,Sports,505 Games,0.05,0.17,0,0.02,0.24,87,22,8.3,194
LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.1,0,0.02,0.24,69,4,6.8,15
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016,Action,Square Enix,0,0,0.23,0,0.23,,,,
XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.09,0.12,0,0.02,0.23,88,104,7.1,1221
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23,,,,
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016,Action,GungHo,0,0,0.22,0,0.22,,,,
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.12,0.08,0,0.02,0.22,88,22,6.8,156
Doom (2016),PC,2016,Shooter,Bethesda Softworks,0.07,0.13,0,0.02,0.21,,,,
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0.02,0,0.19,0,0.21,68,12,7.6,16
World of Final Fantasy,PSV,2016,Role-Playing,Square Enix,0.04,0.06,0.08,0.03,0.21,77,5,8.6,46
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.14,0,0.05,0.02,0.21,77,27,7.1,26
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0,0.03,0.2,72,32,7.4,49
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.07,0.05,0.05,0.03,0.2,,,,
Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation,Marvelous Interactive,0,0,0.2,0,0.2,,,,
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,0.17,0,0.03,0.2,,,,
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.11,0.07,0,0.02,0.2,73,8,7.3,29
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2,87,49,8.2,178
MLB 16: The Show,PS3,2016,Action,Sony Computer Entertainment,0.16,0,0,0.04,0.19,,,,
Shin Megami Tensei IV: Final,3DS,2016,Role-Playing,Deep Silver,0.05,0,0.14,0.01,0.19,,,,
Kan Colle Kai,PSV,2016,Action,Kadokawa Games,0,0,0.19,0,0.19,,,,
LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.09,0.01,0.01,0.19,60,4,7.1,15
Mafia III,PC,2016,Action,Take-Two Interactive,0.08,0.1,0,0.02,0.19,63,29,3.2,881
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19,69,32,7.7,52
Just Dance 2017,Wii,2016,Misc,Ubisoft,0.06,0.11,0,0.01,0.18,,,,
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18,,,,
Skylanders Imaginators,WiiU,2016,Platform,Activision,0.09,0.08,0,0.02,0.18,76,4,,
Madden NFL 17,X360,2016,Sports,Electronic Arts,0.14,0.02,0,0.02,0.17,,,0.7,6
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,,,,
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.09,0.06,0,0.01,0.17,83,18,7.2,175
Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.11,0,0.01,0.16,74,18,4.8,368
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.09,0.06,0,0.01,0.16,72,46,4.4,266
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.1,0,0.03,0.16,,,,
Yakuza Kiwami,PS4,2016,Adventure,Sega,0,0,0.16,0,0.16,,,,
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.08,0.06,0,0.01,0.16,84,16,8.3,79
Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.1,0.04,0,0.01,0.15,71,20,7.2,171
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.07,0.02,0.04,0.02,0.15,79,54,8.7,208
Sword Art Online: Hollow Realization,PSV,2016,Role-Playing,Namco Bandai Games,0,0.04,0.1,0.01,0.15,60,5,7,8
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0,0.02,0.15,73,16,8.1,7
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.06,0.07,0.01,0.01,0.15,74,6,8,11
ReCore,XOne,2016,Action,Microsoft Game Studios,0.08,0.05,0,0.01,0.15,63,75,6.6,445
Skylanders Imaginators,PS4,2016,Platform,Activision,0.04,0.08,0,0.02,0.14,80,47,5.5,17
XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.04,0.08,0,0.02,0.14,88,28,8,116
WWE 2K17,PS3,2016,Sports,Take-Two Interactive,0.05,0.07,0,0.02,0.14,,,4.1,9
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software,0.02,0.02,0.09,0.01,0.14,93,5,7.9,83
Homefront: The Revolution,XOne,2016,Shooter,Deep Silver,0.06,0.07,0,0.01,0.14,49,12,4.1,106
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0,0.02,0.14,45,16,5.9,140
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14,63,32,6.4,45
Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,0.04,0.08,0,0.01,0.14,73,16,3,440
Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0,0,0.13,0,0.13,,,,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,Square Enix,0,0,0.13,0,0.13,,,,
Life is Strange,XOne,2016,Adventure,Square Enix,0.09,0.03,0,0.01,0.13,85,4,8.7,123
Total War: WARHAMMER,PC,2016,Strategy,Sega,0,0.12,0,0.01,0.13,86,77,7.3,556
Pro Evolution Soccer 2017,PS3,2016,Sports,Konami Digital Entertainment,0.01,0.05,0.06,0.01,0.13,,,7.2,19
NBA 2K17,PS3,2016,Sports,Take-Two Interactive,0.06,0.04,0,0.02,0.13,,,2,8
LEGO Marvel's Avengers,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.02,0.07,0,0.03,0.12,,,6.6,13
DiRT Rally,XOne,2016,Racing,Codemasters,0.04,0.08,0,0.01,0.12,86,17,8,60
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.03,0.08,0,0.01,0.12,,,,
Etrian Odyssey V,3DS,2016,Role-Playing,Atlus,0,0,0.12,0,0.12,,,,
Lego Star Wars: The Force Awakens,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.07,0.01,0.01,0.12,,,7.8,9
Gundam Breaker 3,PSV,2016,Action,Namco Bandai Games,0,0,0.12,0,0.12,,,,
Robinson: The Journey,PS4,2016,Action,Crytek,0.06,0.03,0,0.02,0.12,65,40,6.9,62
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0,0.11,0,0.01,0.12,86,45,7.9,915
Hatsune Miku: Project Diva X,PSV,2016,Misc,Sega,0.01,0,0.1,0,0.12,83,5,8,22
Destiny: The Collection,XOne,2016,Shooter,Activision,0.05,0.06,0,0.01,0.12,,,,
Lego Star Wars: The Force Awakens,X360,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.06,0,0.01,0.12,,,6.9,7
Farming Simulator 17,XOne,2016,Simulation,Focus Home Interactive,0.04,0.07,0,0.01,0.12,65,9,,
Dishonored 2,PC,2016,Action,Bethesda Softworks,0.04,0.07,0,0.01,0.12,86,37,6,383
Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,Square Enix,0,0,0.12,0,0.12,,,,
Yakuza Kiwami,PS3,2016,Adventure,Sega,0,0,0.12,0,0.12,,,,
NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.09,0.02,0,0.01,0.12,,,3.4,11
Tales of Berseria,PS3,2016,Role-Playing,Namco Bandai Games,0,0,0.12,0,0.12,,,,
Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0,0.12,0,0.12,,,,
FIFA 17,PC,2016,Sports,Electronic Arts,0,0.11,0,0.01,0.12,84,12,4.2,160
Madden NFL 17,PS3,2016,Sports,Electronic Arts,0.07,0.02,0,0.02,0.12,,,0.2,5
Disney Art Academy,3DS,2016,Action,Nintendo,0.02,0.01,0.08,0,0.11,72,16,6.8,5
Persona 5,PS3,2016,Role-Playing,Unknown,0,0,0.11,0,0.11,,,,
Toukiden 2,PSV,2016,Action,Tecmo Koei,0,0,0.11,0,0.11,,,,
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.11,75,45,8.5,289
Batman: Return to Arkham,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0,0.01,0.11,77,6,8.2,43
RIGS: Mechanized Combat League,PS4,2016,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11,79,42,7.9,76
WWE 2K17,X360,2016,Sports,Take-Two Interactive,0.05,0.04,0,0.01,0.11,,,,
Skylanders Imaginators,PS3,2016,Platform,Activision,0.02,0.07,0,0.02,0.11,,,,
Fate/Extella: The Umbral Star,PS4,2016,Action,PQube,0,0,0.11,0,0.11,,,,
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action,Namco Bandai Games,0,0,0.1,0,0.1,,,,
The Sims 4: City Living,PC,2016,Simulation,Electronic Arts,0.02,0.08,0,0.01,0.1,77,10,5.7,30
EVE: Valkyrie,PS4,2016,Shooter,CCP,0.03,0.05,0,0.02,0.1,73,26,6.3,37
The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0,0,0.1,0,0.1,,,,
Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games,0,0,0.1,0,0.1,,,,
Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games,0,0,0.1,0,0.1,,,,
Lego Star Wars: The Force Awakens,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.06,0.01,0.02,0.1,,,7.1,13
Skylanders Imaginators,XOne,2016,Platform,Activision,0.05,0.04,0,0.01,0.1,78,14,6,8
One Piece: Burning Blood,PSV,2016,Fighting,Namco Bandai Games,0,0.02,0.07,0,0.1,62,4,7.8,10
Just Dance 2017,WiiU,2016,Misc,Ubisoft,0.03,0.06,0,0.01,0.09,,,,
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0.09,0,0.09,,,,
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.09,0,0.09,,,,
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision,0.05,0.02,0,0.02,0.09,44,49,5.5,163
Football Manager 2017,PC,2016,Simulation,Sega,0,0.09,0,0.01,0.09,81,41,4.3,57
MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.02,0.05,0,0.01,0.09,,,,
Sonic Boom: Fire & Ice,3DS,2016,Platform,Sega,0.05,0.03,0,0.01,0.09,,,,
DriveClub VR,PS4,2016,Racing,Sony Computer Entertainment,0.03,0.05,0,0.01,0.09,67,34,7.4,110
Skylanders Imaginators,X360,2016,Platform,Activision,0.04,0.05,0,0.01,0.09,,,,
Fate/Extella: The Umbral Star,PSV,2016,Action,PQube,0,0,0.09,0,0.09,,,,
Terraria,3DS,2016,Action,505 Games,0,0.04,0.05,0,0.09,71,6,7.1,21
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.03,0.05,0,0.01,0.09,,,,
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.01,0.05,0.01,0.01,0.09,,,6.1,12
SD Gundam G Generation Genesis,PSV,2016,Strategy,Namco Bandai Games,0,0,0.09,0,0.09,,,,
Toukiden 2,PS4,2016,Action,Tecmo Koei,0,0,0.08,0,0.08,,,,
SD Gundam G Generation Genesis,PS4,2016,Strategy,Namco Bandai Games,0,0,0.08,0,0.08,,,,
BlazBlue Central Fiction,PS4,2016,Fighting,PQube,0.04,0,0.03,0.01,0.08,85,21,7.6,39
Battleborn,PC,2016,Shooter,Take-Two Interactive,0.04,0.04,0,0.01,0.08,69,34,6.9,400
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube,0.03,0,0.05,0.01,0.08,,,,
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.07,0,0,0.02,0.08,77,22,6.1,55
Titanfall 2,PC,2016,Shooter,Electronic Arts,0.03,0.04,0,0.01,0.08,85,27,8,488
Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive,0,0.07,0,0.01,0.08,,,,
UEFA Euro 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0.04,0.03,0.01,0.08,,,,
Resident Evil 6,PS4,2016,Shooter,Capcom,0.06,0,0,0.01,0.08,60,19,6.7,94
Song of the Deep,PS4,2016,Action,Insomniac Games,0.06,0,0,0.01,0.08,69,41,7.3,30
Resident Evil Zero,XOne,2016,Action,Capcom,0.05,0.02,0,0.01,0.08,,,,
Assassin's Creed The Ezio Collection,XOne,2016,Action,Ubisoft,0.03,0.04,0,0.01,0.08,74,13,7.6,24
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.01,0.05,0,0.01,0.08,75,19,8,50
Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016,Misc,Nippon Columbia,0,0,0.08,0,0.08,,,,
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games,0.05,0,0.02,0.01,0.08,81,18,8.5,72
Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0,0.07,0,0,0.07,89,56,8.6,1848
Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,PQube,0.02,0.02,0.03,0.01,0.07,,,,
Eagle Flight,PS4,2016,Adventure,Ubisoft,0.01,0.05,0,0.01,0.07,72,31,7.8,22
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.01,0.04,0.01,0.01,0.07,70,6,8,24
Utawarerumono: Futari no Hakuoro,PSV,2016,Misc,Aqua Plus,0,0,0.06,0,0.06,,,,
Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.05,0,0,0.06,74,24,4.4,606
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,0,0,0.06,0,0.06,,,,
Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software,0.02,0.01,0.03,0.01,0.06,,,7,29
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.05,0,0.01,0.06,73,35,6.2,70
One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games,0.03,0.02,0,0.01,0.06,60,10,5.8,12
TrackMania Turbo,XOne,2016,Action,Ubisoft,0.02,0.04,0,0,0.06,76,12,7.7,27
